user_id,interest,skill_level
1,Web Development,Advanced
2,Cybersecurity,Intermediate
3,DevOps,Advanced
4,Web Development,Intermediate
5,Mobile Development,Beginner
6,Cybersecurity,Advanced
7,DevOps,Intermediate
8,Mobile Development,Intermediate
9,Data Science,Beginner
10,Web Development,Beginner
11,Cloud Computing,Advanced
12,Data Science,Advanced
13,Cloud Computing,Advanced
14,DevOps,Advanced
15,Web Development,Intermediate
16,Data Science,Advanced
17,Mobile Development,Advanced
18,Mobile Development,Advanced
19,Cloud Computing,Beginner
20,Mobile Development,Advanced
21,Cybersecurity,Intermediate
22,Mobile Development,Intermediate
23,DevOps,Advanced
24,Data Science,Beginner
25,Cybersecurity,Beginner
26,Cybersecurity,Intermediate
27,Cloud Computing,Beginner
28,Data Science,Intermediate
29,Data Science,Advanced
30,Mobile Development,Intermediate
31,Web Development,Advanced
32,Cloud Computing,Intermediate
33,Mobile Development,Beginner
34,DevOps,Intermediate
35,Cloud Computing,Intermediate
36,Cloud Computing,Intermediate
37,Data Science,Beginner
38,Data Science,Beginner
39,DevOps,Beginner
40,Cybersecurity,Beginner
41,Data Science,Advanced
42,Data Science,Beginner
43,Mobile Development,Intermediate
44,Data Science,Intermediate
45,Cloud Computing,Advanced
46,Web Development,Intermediate
47,DevOps,Advanced
48,Web Development,Beginner
49,Mobile Development,Intermediate
50,Mobile Development,Intermediate
51,Cybersecurity,Advanced
52,Cloud Computing,Beginner
53,DevOps,Advanced
54,Web Development,Advanced
55,Cybersecurity,Advanced
56,Data Science,Intermediate
57,Data Science,Intermediate
58,DevOps,Beginner
59,Mobile Development,Beginner
60,Data Science,Intermediate
61,Cybersecurity,Advanced
62,Mobile Development,Beginner
63,DevOps,Intermediate
64,Web Development,Advanced
65,Data Science,Advanced
66,Web Development,Advanced
67,Mobile Development,Intermediate
68,Web Development,Advanced
69,Cybersecurity,Beginner
70,Web Development,Advanced
71,Mobile Development,Intermediate
72,DevOps,Intermediate
73,Cybersecurity,Beginner
74,Data Science,Beginner
75,Data Science,Intermediate
76,Data Science,Beginner
77,Cloud Computing,Intermediate
78,Web Development,Advanced
79,Cybersecurity,Beginner
80,Web Development,Intermediate
81,Cloud Computing,Intermediate
82,Cloud Computing,Advanced
83,Cybersecurity,Intermediate
84,Data Science,Advanced
85,Web Development,Advanced
86,Web Development,Advanced
87,DevOps,Intermediate
88,Cybersecurity,Advanced
89,Cybersecurity,Advanced
90,DevOps,Beginner
91,Data Science,Advanced
92,Cloud Computing,Advanced
93,DevOps,Intermediate
94,Data Science,Beginner
95,Data Science,Beginner
96,Cybersecurity,Beginner
97,Web Development,Advanced
98,DevOps,Beginner
99,Data Science,Advanced
100,Cybersecurity,Advanced
101,Web Development,Intermediate
102,Cloud Computing,Advanced
103,DevOps,Intermediate
104,Web Development,Advanced
105,Data Science,Beginner
106,Cloud Computing,Beginner
107,DevOps,Beginner
108,Mobile Development,Advanced
109,Cybersecurity,Intermediate
110,Cloud Computing,Advanced
111,Web Development,Beginner
112,Data Science,Intermediate
113,Data Science,Beginner
114,Data Science,Beginner
115,Mobile Development,Intermediate
116,Cloud Computing,Advanced
117,Web Development,Intermediate
118,Web Development,Advanced
119,DevOps,Intermediate
120,Cloud Computing,Advanced
121,Cybersecurity,Beginner
122,Data Science,Beginner
123,DevOps,Intermediate
124,Mobile Development,Beginner
125,Cloud Computing,Intermediate
126,Web Development,Intermediate
127,Cloud Computing,Beginner
128,Mobile Development,Advanced
129,Cloud Computing,Advanced
130,Cloud Computing,Advanced
131,Web Development,Intermediate
132,Cloud Computing,Intermediate
133,Cloud Computing,Beginner
134,Data Science,Advanced
135,Cloud Computing,Advanced
136,DevOps,Intermediate
137,Data Science,Advanced
138,Data Science,Advanced
139,Mobile Development,Beginner
140,DevOps,Advanced
141,Web Development,Advanced
142,Data Science,Beginner
143,Data Science,Intermediate
144,Cloud Computing,Beginner
145,Cybersecurity,Advanced
146,Mobile Development,Intermediate
147,Cloud Computing,Intermediate
148,Cybersecurity,Advanced
149,Cloud Computing,Beginner
150,DevOps,Advanced
151,Web Development,Advanced
152,Mobile Development,Beginner
153,Mobile Development,Intermediate
154,Cybersecurity,Beginner
155,Mobile Development,Intermediate
156,Cybersecurity,Intermediate
157,Cybersecurity,Beginner
158,Cloud Computing,Intermediate
159,DevOps,Beginner
160,Data Science,Intermediate
161,Mobile Development,Beginner
162,Cloud Computing,Beginner
163,Data Science,Advanced
164,Web Development,Advanced
165,Cybersecurity,Intermediate
166,Web Development,Advanced
167,Cloud Computing,Advanced
168,Web Development,Beginner
169,Web Development,Advanced
170,Data Science,Beginner
171,Cloud Computing,Advanced
172,Cybersecurity,Intermediate
173,Cybersecurity,Intermediate
174,Data Science,Intermediate
175,Cloud Computing,Beginner
176,DevOps,Advanced
177,Mobile Development,Beginner
178,Data Science,Intermediate
179,DevOps,Advanced
180,Data Science,Intermediate
181,Mobile Development,Intermediate
182,Cybersecurity,Intermediate
183,Cloud Computing,Intermediate
184,Cybersecurity,Advanced
185,Mobile Development,Advanced
186,DevOps,Intermediate
187,Cybersecurity,Beginner
188,Data Science,Advanced
189,Data Science,Advanced
190,Cybersecurity,Beginner
191,Mobile Development,Beginner
192,Cloud Computing,Advanced
193,Cloud Computing,Advanced
194,Cloud Computing,Advanced
195,DevOps,Beginner
196,Cybersecurity,Intermediate
197,Web Development,Advanced
198,Mobile Development,Intermediate
199,Data Science,Intermediate
200,Mobile Development,Beginner
201,Mobile Development,Advanced
202,Cloud Computing,Intermediate
203,DevOps,Advanced
204,Cloud Computing,Beginner
205,Cloud Computing,Beginner
206,Cybersecurity,Advanced
207,DevOps,Intermediate
208,Web Development,Advanced
209,Cybersecurity,Advanced
210,Cloud Computing,Intermediate
211,Data Science,Beginner
212,Mobile Development,Beginner
213,DevOps,Advanced
214,Cybersecurity,Beginner
215,Cloud Computing,Advanced
216,Cloud Computing,Intermediate
217,Cybersecurity,Beginner
218,Mobile Development,Advanced
219,Mobile Development,Beginner
220,Cybersecurity,Advanced
221,Cloud Computing,Beginner
222,Mobile Development,Beginner
223,Cloud Computing,Advanced
224,Mobile Development,Advanced
225,Cloud Computing,Intermediate
226,Cloud Computing,Intermediate
227,DevOps,Advanced
228,Mobile Development,Beginner
229,Cloud Computing,Beginner
230,Cloud Computing,Advanced
231,Mobile Development,Advanced
232,DevOps,Advanced
233,Cybersecurity,Intermediate
234,Mobile Development,Beginner
235,Web Development,Advanced
236,Web Development,Advanced
237,Mobile Development,Beginner
238,Mobile Development,Advanced
239,Mobile Development,Beginner
240,DevOps,Intermediate
241,DevOps,Advanced
242,Data Science,Intermediate
243,Web Development,Intermediate
244,Mobile Development,Advanced
245,Web Development,Beginner
246,Web Development,Intermediate
247,DevOps,Beginner
248,Cybersecurity,Advanced
249,Web Development,Beginner
250,Cybersecurity,Beginner
251,DevOps,Beginner
252,Data Science,Beginner
253,Cybersecurity,Advanced
254,Cybersecurity,Intermediate
